file,subset_size,nn_distance,nn_time_ms,twoopt_distance,twoopt_time_ms,heldkarp_distance,heldkarp_time_ms
../HighwayData/AGO-region.tmg,20,5124.453,0,4959.958,0,4959.958,33
../HighwayData/AGO-region.tmg,50,5140.648,0,5140.648,1,-1,-1
../HighwayData/AGO-region.tmg,100,5563.762,1,5546.531,0,-1,-1
../HighwayData/AGO-region.tmg,200,6715.838,1,6680.482,3,-1,-1
../HighwayData/AGO-region.tmg,50,5140.648,0,5140.648,0,-1,-1
../HighwayData/AGO-region.tmg,100,5563.762,0,5546.531,1,-1,-1
../HighwayData/AGO-region.tmg,200,6715.838,1,6680.482,3,-1,-1
../HighwayData/AGO-region.tmg,50,5140.648,0,5140.648,0,-1,-1
../HighwayData/AGO-region.tmg,100,5563.762,1,5546.531,1,-1,-1
../HighwayData/AGO-region.tmg,200,6715.838,1,6680.482,3,-1,-1
../HighwayData/AGO-region.tmg,50,5140.648,0,5140.648,0,-1,-1
../HighwayData/AGO-region.tmg,100,5563.762,0,5546.531,2,-1,-1
../HighwayData/AGO-region.tmg,200,6715.838,1,6680.482,5,-1,-1
../HighwayData/AGO-region.tmg,50,5140.648,0,5140.648,1,-1,-1
../HighwayData/AGO-region.tmg,100,5563.762,0,5546.531,1,-1,-1
../HighwayData/AGO-region.tmg,200,6715.838,1,6680.482,3,-1,-1
../HighwayData/AGO-region.tmg,50,5140.648,0,5140.648,0,-1,-1
../HighwayData/AGO-region.tmg,100,5563.762,0,5546.531,1,-1,-1
../HighwayData/AGO-region.tmg,200,6715.838,1,6680.482,4,-1,-1
../HighwayData/AGO-region.tmg,50,5140.648,0,5140.648,1,-1,-1
../HighwayData/AGO-region.tmg,100,5563.762,0,5546.531,1,-1,-1
../HighwayData/AGO-region.tmg,200,6715.838,2,6680.482,4,-1,-1
../HighwayData/AGO-region.tmg,50,5140.648,0,5140.648,0,-1,-1
../HighwayData/AGO-region.tmg,100,5563.762,0,5546.531,2,-1,-1
../HighwayData/AGO-region.tmg,200,6715.838,1,6680.482,4,-1,-1
../HighwayData/AGO-region.tmg,50,5140.648,0,5140.648,0,-1,-1
../HighwayData/AGO-region.tmg,100,5563.762,0,5546.531,1,-1,-1
../HighwayData/AGO-region.tmg,200,6715.838,1,6680.482,4,-1,-1
