file,subset_size,nn_distance,nn_time_ms,twoopt_distance,twoopt_time_ms,heldkarp_distance,heldkarp_time_ms
../HighwayData/NY-region.tmg,20,78.840,0,77.055,0,51.159,59
../HighwayData/NY-region.tmg,50,278.289,0,276.504,1,-1,-1
../HighwayData/NY-region.tmg,100,595.430,1,587.196,1,-1,-1
../HighwayData/NY-region.tmg,200,1265.353,0,986.112,4,-1,-1
../HighwayData/NY-region.tmg,50,278.289,1,276.504,0,-1,-1
../HighwayData/NY-region.tmg,100,595.430,0,587.196,2,-1,-1
../HighwayData/NY-region.tmg,200,1265.353,1,986.112,4,-1,-1
../HighwayData/NY-region.tmg,50,278.289,0,276.504,0,-1,-1
../HighwayData/NY-region.tmg,100,595.430,0,587.196,1,-1,-1
../HighwayData/NY-region.tmg,200,1265.353,0,986.112,4,-1,-1
../HighwayData/NY-region.tmg,50,278.289,0,276.504,1,-1,-1
../HighwayData/NY-region.tmg,100,595.430,0,587.196,2,-1,-1
../HighwayData/NY-region.tmg,200,1265.353,1,986.112,4,-1,-1
../HighwayData/NY-region.tmg,50,278.289,0,276.504,0,-1,-1
../HighwayData/NY-region.tmg,100,595.430,0,587.196,1,-1,-1
../HighwayData/NY-region.tmg,200,1265.353,1,986.112,5,-1,-1
../HighwayData/NY-region.tmg,50,278.289,0,276.504,0,-1,-1
../HighwayData/NY-region.tmg,100,595.430,0,587.196,2,-1,-1
../HighwayData/NY-region.tmg,200,1265.353,2,986.112,4,-1,-1
../HighwayData/NY-region.tmg,50,278.289,0,276.504,2,-1,-1
../HighwayData/NY-region.tmg,100,595.430,0,587.196,2,-1,-1
../HighwayData/NY-region.tmg,200,1265.353,1,986.112,3,-1,-1
../HighwayData/NY-region.tmg,50,278.289,0,276.504,0,-1,-1
../HighwayData/NY-region.tmg,100,595.430,0,587.196,2,-1,-1
../HighwayData/NY-region.tmg,200,1265.353,1,986.112,3,-1,-1
../HighwayData/NY-region.tmg,50,278.289,0,276.504,1,-1,-1
../HighwayData/NY-region.tmg,100,595.430,0,587.196,2,-1,-1
../HighwayData/NY-region.tmg,200,1265.353,0,986.112,4,-1,-1
